"","store 4904","store 20974","store 46673","store 12631"
"16/06/15",355.361703616253,237.992356166422,159.548153150915,274.268292093224
"17/06/15",338.173343581224,254.854726197832,172.457618570677,289.9449409038
"18/06/15",303.30815832346,241.444097013539,161.765938372257,316.541022976194
"19/06/15",224.320187908872,210.859993425587,100.505293334477,313.789701000198
"20/06/15",226.858168748523,171.3847751575,78.8792440342376,245.14006841509
"21/06/15",351.990714931408,230.405750577899,169.946608408611,278.458401133149
"22/06/15",341.48711766683,240.850663834375,176.332274826871,257.871596564554
"23/06/15",361.491585934659,240.510373036829,159.548153150915,275.011161090345
"24/06/15",343.023582584547,257.184964739169,172.457618570677,290.709901077333
"25/06/15",307.659635439744,243.600560587452,161.765938372257,317.354498807196
"26/06/15",228.224192037445,212.855641108482,100.505293334477,314.57520659562
"27/06/15",230.360714626308,173.231599616965,78.8792440342376,245.737826291072
"28/06/15",355.133085487884,232.114850141569,169.946608408611,279.119819240149
"29/06/15",344.306350607314,242.432309184353,176.332274826871,258.468258379996
