"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"18.28571",159.548153150915,120.737886309002,198.358419992828,100.192972067574,218.903334234256
"18.42857",172.457618570677,130.507109629269,214.408127512085,108.299851634983,236.615385506371
"18.57143",161.765938372257,122.416192362575,201.115684381939,101.5856951005,221.946181644014
"18.71429",100.505293334477,76.0572672109391,124.953319458015,63.1152639486004,137.895322720354
"18.85714",78.8792440342376,59.6917781684673,98.0667099000079,49.5345472911766,108.223940777299
"19.00000",169.946608408611,128.606904961125,211.286311856097,106.72298786377,233.170228953452
"19.14286",176.332274826871,133.439250149257,219.225299504486,110.733054462775,241.931495190967
"19.28571",159.548153150915,120.7378843581,198.35842194373,100.192969083927,218.903337217903
"19.42857",172.457618570677,130.507107902759,214.408129238595,108.299848994513,236.615388146841
"19.57143",161.765938372257,122.416190897542,201.115685846971,101.585692859926,221.946183884587
"19.71429",100.505293334477,76.0572649988929,124.953321670062,63.1152605655676,137.895326103387
"19.85714",78.8792440342376,59.6917742636191,98.0667138048561,49.5345413192266,108.223946749249
"20.00000",169.946608408611,128.606903099521,211.286313717701,106.722985016692,233.17023180053
"20.14286",176.332274826871,133.439248475966,219.225301177776,110.733051903699,241.931497750044
